Navn,Lønartnr,Udskrivnings sekvens,Type
Overarbejde 6,43155,3155,VARIABEL
Overarbejde 7,43156,3156,VARIABEL
Overarbejde 8,43157,3157,VARIABEL
Overarbejde 9,43158,3158,VARIABEL
Søn- og Helligdag,43159,3159,VARIABEL
Personalegoder (felt 55),3165,3165,FAST
Personalegoder (felt 55),3166,3166,VARIABEL
Personalegoder (felt 56),3167,3167,FAST
Personalegoder (felt 56),3168,3168,VARIABEL
Information til medarbejder,3170,3170,FAST
Sygedagpenge,43175,3175,VARIABEL
Sygedagpenge,43176,3176,VARIABEL
Barn syg,43177,3177,VARIABEL
Regulering timeløn,43181,3181,VARIABEL
A/C udbetaling,43182,3182,VARIABEL
Udlæg,43183,3183,VARIABEL
Bonus,43188,3188,VARIABEL
Feriefridage,43195,3195,VARIABEL
Timeløn,43200,3200,VARIABEL
Barsel med løn,43204,3204,VARIABEL
Faglært Timeløn,43205,3205,VARIABEL
Ufaglært Timeløn,43206,3206,VARIABEL
Timeløn Regulering,43209,3209,VARIABEL
Personalegode 3 før skat,3210,3210,FAST
Timeløn Intern vikar,43210,3210,VARIABEL
Personalegode 3 før skat,3211,3211,VARIABEL
Intern nattevagt,43211,3211,VARIABEL
Personalegode 3 før skat,3212,3212,FAST
Intern Weekendvagt,43212,3212,VARIABEL
Sygeløn,43213,3213,VARIABEL
Personalegode 4 før skat,3215,3215,FAST
Personalegode 4 før skat,3216,3216,VARIABEL
Personalegode 4 før skat,43216,3216,VARIABEL
Personalegode 4 før skat,3217,3217,FAST
Personalegode 5 før skat,3220,3220,FAST
Personalegode 5 før skat,3221,3221,VARIABEL
Mødetillæg,43221,3221,VARIABEL
Personalegode 5 før skat,3222,3222,FAST
Tructillæg,43222,3222,VARIABEL
Personligt tillæg,43223,3223,VARIABEL
Personalegode 6 før skat,3225,3225,FAST
Personalegode 6 før skat,3226,3226,VARIABEL
Personalegode 6 før skat,3227,3227,FAST
Personalegode 7 før skat,3230,3230,FAST
Forskudt tidstillæg 1,43230,3230,VARIABEL
Personalegode 7 før skat,3231,3231,VARIABEL
Forskudt tidstillæg 2,43231,3231,VARIABEL
Personalegode 7 før skat,3232,3232,FAST
Forskudt tidstillæg 3,43232,3232,VARIABEL
Forskudt tidstillæg 4,43233,3233,VARIABEL
Forskudt tidstillæg 5,43234,3234,VARIABEL
Personalegode 8 før skat,3235,3235,FAST
Forskudt tidstillæg 6,43235,3235,VARIABEL
Personalegode 8 før skat,3236,3236,VARIABEL
Forskudt tidstillæg 7,43236,3236,VARIABEL
Personalegode 8 før skat,3237,3237,FAST
Personalegode 9 før skat,3240,3240,FAST
Skifteholdstillæg 1,43240,3240,VARIABEL
Personalegode 9 før skat,3241,3241,VARIABEL
Skifteholdstillæg 2,43241,3241,VARIABEL
Personalegode 9 før skat,3242,3242,FAST
Skifteholdstillæg 3,43242,3242,VARIABEL
Skifteholdstillæg 4,43243,3243,VARIABEL
Skifteholdstillæg 5,43244,3244,VARIABEL
Skifteholdstillæg 6,43245,3245,VARIABEL
Personalegode A før skat,3250,3250,FAST
Overarbejde 1,43250,3250,VARIABEL
Personalegode A før skat,3251,3251,VARIABEL
Overarbejde 2,43251,3251,VARIABEL
Personalegode A før skat,3252,3252,FAST
Overarbejde 3,43252,3252,VARIABEL
Invaliddækning før skat var. m/afregning,3253,3253,VARIABEL
Overarbejde 4,43253,3253,VARIABEL
Invalidedækning før skat m/afregning,3254,3254,FAST
Overarbejde 5,43254,3254,VARIABEL
Overarbejde 6,43255,3255,VARIABEL
Overarbejde 7,43256,3256,VARIABEL
Overarbejde 8,43257,3257,VARIABEL
Overarbejde 9,43258,3258,VARIABEL
Søn- og Helligdag,43259,3259,VARIABEL
Sygedagpenge,43275,3275,VARIABEL
Sygedagpenge,43276,3276,VARIABEL
Barn syg,43277,3277,VARIABEL
Regulering timeløn,43281,3281,VARIABEL
A/C udbetaling,43282,3282,VARIABEL
Udlæg,43283,3283,VARIABEL
Bonus,43288,3288,VARIABEL
Feriefridage,43295,3295,VARIABEL
Omsorgsdagssaldo i dage,3300,3300,VARIABEL
Timeløn,43300,3300,VARIABEL
Omsorgsdagssaldo i timer,3301,3301,VARIABEL
Barsel med løn,43304,3304,VARIABEL
Afholdt omsorgsdag,3305,3305,FRAVÆR
Faglært Timeløn,43305,3305,VARIABEL
Afholdt omsorgsdag i timer,3306,3306,FRAVÆR
Ufaglært Timeløn,43306,3306,VARIABEL
Time løn Regulering,43309,3309,VARIABEL
Omsorgsdage udbetalt,3310,3310,VARIABEL
Timeløn Intern vikar,43310,3310,VARIABEL
Omsorgsdage i timer udb.,3311,3311,VARIABEL
Intern nattevagt,43311,3311,VARIABEL
Omsorgsdage med timeløn,3312,3312,FRAVÆR
Intern Weekendvagt,43312,3312,VARIABEL
Sygeløn,43313,3313,VARIABEL
Omsorgsdage udb. timer * sats,3315,3315,VARIABEL
Mødetillæg,43321,3321,VARIABEL
Trucktillæg,43322,3322,VARIABEL
Personligt tillæg,43323,3323,VARIABEL
Forskudt tidstillæg 1,43330,3330,VARIABEL
Forskudt tidstillæg 2,43331,3331,VARIABEL
Forskudt tidstillæg 3,43332,3332,VARIABEL
Forskudt tidstillæg 4,43333,3333,VARIABEL
Forskudt tidstillæg 5,43334,3334,VARIABEL
Forskudt tidstillæg 6,43335,3335,VARIABEL
Forskudt tidstillæg 7,43336,3336,VARIABEL
Skifteholdstillæg 1,43340,3340,VARIABEL
Skifteholdstillæg 2,43341,3341,VARIABEL
Skifteholdstillæg 3,43342,3342,VARIABEL
Skifteholdstillæg 4,43343,3343,VARIABEL
Skifteholdstillæg 5,43344,3344,VARIABEL
Skifteholdstillæg 6,43345,3345,VARIABEL
Overarbejde 1,43350,3350,VARIABEL
Overarbejde 2,43351,3351,VARIABEL
Overarbejde 3,43352,3352,VARIABEL
Overarbejde 4,43353,3353,VARIABEL
Overarbejde 5,43354,3354,VARIABEL
Overarbejde 6,43355,3355,VARIABEL
Overarbejde 7,43356,3356,VARIABEL
Overarbejde 8,43357,3357,VARIABEL
Overarbejde 9,43358,3358,VARIABEL
Søn- og Helligdag,43359,3359,VARIABEL
Sygedagpenge,43375,3375,VARIABEL
Sygedagpenge,43376,3376,VARIABEL
Barn syg,43377,3377,VARIABEL
Regulering timeløn,43381,3381,VARIABEL
A/C udbetaling,43382,3382,VARIABEL
Udlæg,43383,3383,VARIABEL
Bonus,43388,3388,VARIABEL
Feriefridage,43395,3395,VARIABEL
Aftalefridage saldo i dage,3400,3400,VARIABEL
Timeløn,43400,3400,VARIABEL
Aftalefridage saldo i timer,3401,3401,VARIABEL
Barsel med løn,43404,3404,VARIABEL
Afholdt aftalefridag,3405,3405,FRAVÆR
Faglært Timeløn,43405,3405,VARIABEL
Afholdt aftalefridag i timer,3406,3406,FRAVÆR
Ufaglært Timeløn,43406,3406,VARIABEL
Regulering,43409,3409,VARIABEL
Aftalefridage udbetalt,3410,3410,VARIABEL
Aftalefridage i timer udb.,3411,3411,VARIABEL
Aftalefritimer timeløn udb.,3412,3412,VARIABEL
Aftalefritimer udbetalt,3415,3415,VARIABEL
Aftalefritimer udbetalt,3416,3416,VARIABEL
Aftalefridage i timer udb.,3417,3417,VARIABEL
Aftalefritimer udbetalt,3418,3418,VARIABEL
Aftalefridage saldo i dage,3420,3420,STILLINGSKATEGORI
Aftalefridage saldo i timer,3421,3421,STILLINGSKATEGORI
Mødetillæg,43421,3421,VARIABEL
Tructillæg,43422,3422,VARIABEL
Personligt tillæg,43423,3423,VARIABEL
Forskudt tidstillæg 1,43430,3430,VARIABEL
Forskudt tidstillæg 2,43431,3431,VARIABEL
Forskudt tidstillæg 3,43432,3432,VARIABEL
Forskudt tidstillæg 4,43433,3433,VARIABEL
Forskudt tidstillæg 5,43434,3434,VARIABEL
Forskudt tidstillæg 6,43435,3435,VARIABEL
Forskudt tidstillæg 7,43436,3436,VARIABEL
Skifteholdstillæg 1,43440,3440,VARIABEL
Skifteholdstillæg 2,43441,3441,VARIABEL
Skifteholdstillæg 3,43442,3442,VARIABEL
Skifteholdstillæg 4,43443,3443,VARIABEL
Skifteholdstillæg 5,43444,3444,VARIABEL
Skifteholdstillæg 6,43445,3445,VARIABEL
Overarbejde 1,43450,3450,VARIABEL
Overarbejde 2,43451,3451,VARIABEL
Overarbejde 3,43452,3452,VARIABEL
Overarbejde 4,43453,3453,VARIABEL
Overarbejde 5,43454,3454,VARIABEL
Overarbejde 6,43455,3455,VARIABEL
Overarbejde 7,43456,3456,VARIABEL
Overarbejde 8,43457,3457,VARIABEL
Overarbejde 9,43458,3458,VARIABEL
Søn- og Helligdag,43459,3459,VARIABEL
Sygedagpenge,43475,3475,VARIABEL
Sygedagpenge,43476,3476,VARIABEL
Barn syg,43477,3477,VARIABEL
Regulering timeløn,43481,3481,VARIABEL
A/C udbetaling,43482,3482,VARIABEL
Udlæg,43483,3483,VARIABEL
Bonus,43488,3488,VARIABEL
Feriefridage,43495,3495,VARIABEL
Timeløn,43500,3500,VARIABEL
Barsel med løn,43504,3504,VARIABEL
Faglært Timeløn,43505,3505,VARIABEL
Ufaglært Timeløn,43506,3506,VARIABEL
Timeløn Regulering,43509,3509,VARIABEL
Timeløn Intern vikar,43510,3510,VARIABEL
Intern nattevagt,43511,3511,VARIABEL
Intern Weekendvagt,43512,3512,VARIABEL
Sygeløn,43513,3513,VARIABEL
Mødetillæg,43521,3521,VARIABEL
Tructillæg,43522,3522,VARIABEL
Personligt tillæg,43523,3523,VARIABEL
Forskudt tidstillæg 1,43530,3530,VARIABEL
Forskudt tidstillæg 2,43531,3531,VARIABEL
Forskudt tidstillæg 3,43532,3532,VARIABEL
Forskudt tidstillæg 4,43533,3533,VARIABEL
Forskudt tidstillæg 5,43534,3534,VARIABEL
Forskudt tidstillæg 6,43535,3535,VARIABEL
Forskudt tidstillæg 7,43536,3536,VARIABEL
Skifteholdstillæg 1,43540,3540,VARIABEL
Skifteholdstillæg 2,43541,3541,VARIABEL
Skifteholdstillæg 3,43542,3542,VARIABEL
Skifteholdstillæg 4,43543,3543,VARIABEL
Skifteholdstillæg 5,43544,3544,VARIABEL
Skifteholdstillæg 6,43545,3545,VARIABEL
Overarbejde 1,43550,3550,VARIABEL
Overarbejde 2,43551,3551,VARIABEL
Overarbejde 3,43552,3552,VARIABEL
Overarbejde 4,43553,3553,VARIABEL
Overarbejde 5,43554,3554,VARIABEL
Overarbejde 6,43555,3555,VARIABEL
Overarbejde 7,43556,3556,VARIABEL
Overarbejde 8,43557,3557,VARIABEL
Overarbejde 9,43558,3558,VARIABEL
Søn- og Helligdag,43559,3559,VARIABEL
Sygedagpenge,43575,3575,VARIABEL
Sygedagpenge,43576,3576,VARIABEL
Barn syg,43577,3577,VARIABEL
Regulering timeløn,43581,3581,VARIABEL
A/C udbetaling,43582,3582,VARIABEL
Udlæg,43583,3583,VARIABEL
Bonus,43588,3588,VARIABEL
Feriefridage,43595,3595,VARIABEL
Timeløn,43600,3600,VARIABEL
Barsel med løn,43604,3604,VARIABEL
Faglært Timeløn,43605,3605,VARIABEL
Ufaglært Timeløn,43606,3606,VARIABEL
Timeløn Regulering,43609,3609,VARIABEL
Intern nattevagt,43611,3611,VARIABEL
Mødetillæg,43621,3621,VARIABEL
Tructillæg,43622,3622,VARIABEL
Personligt tillæg,43623,3623,VARIABEL
Forskudt tidstillæg 1,43630,3630,VARIABEL
Forskudt tidstillæg 2,43631,3631,VARIABEL
Forskudt tidstillæg 3,43632,3632,VARIABEL
Forskudt tidstillæg 4,43633,3633,VARIABEL
Forskudt tidstillæg 5,43634,3634,VARIABEL
Forskudt tidstillæg 6,43635,3635,VARIABEL
Forskudt tidstillæg 7,43636,3636,VARIABEL
Skifteholdstillæg 1,43640,3640,VARIABEL
Skifteholdstillæg 2,43641,3641,VARIABEL
Skifteholdstillæg 3,43642,3642,VARIABEL
Skifteholdstillæg 4,43643,3643,VARIABEL
Skifteholdstillæg 5,43644,3644,VARIABEL
Skifteholdstillæg 6,43645,3645,VARIABEL
Overarbejde 1,43650,3650,VARIABEL
Overarbejde 2,43651,3651,VARIABEL
Overarbejde 3,43652,3652,VARIABEL
Overarbejde 4,43653,3653,VARIABEL
Overarbejde 5,43654,3654,VARIABEL
Overarbejde 6,43655,3655,VARIABEL
Overarbejde 7,43656,3656,VARIABEL
Overarbejde 8,43657,3657,VARIABEL
Overarbejde 9,43658,3658,VARIABEL
Søn- og Helligdag,43659,3659,VARIABEL
Sygedagpenge,43675,3675,VARIABEL
Sygedagpenge,43676,3676,VARIABEL
Barn syg,43677,3677,VARIABEL
Regulering timeløn,43681,3681,VARIABEL
A/C udbetaling,43682,3682,VARIABEL
Udlæg,43683,3683,VARIABEL
Bonus,43688,3688,VARIABEL
Feriefridage,43695,3695,VARIABEL
Timeløn,43700,3700,VARIABEL
Barsel med løn,43704,3704,VARIABEL
Faglært Timeløn,43705,3705,VARIABEL
Ufaglært Timeløn,43706,3706,VARIABEL
Regulering,43709,3709,VARIABEL
Intern nattevagt,43711,3711,VARIABEL
Mødetillæg,43721,3721,VARIABEL
Tructillæg,43722,3722,VARIABEL
Personligt tillæg,43723,3723,VARIABEL
Senior saldo korrektion,3730,3730,VARIABEL
Forskudt tidstillæg 1,43730,3730,VARIABEL
"Senior saldo, egen korrektion",3731,3731,VARIABEL
Forskudt tidstillæg 2,43731,3731,VARIABEL
Senior dage afregning,3732,3732,VARIABEL
Forskudt tidstillæg 3,43732,3732,VARIABEL
Senior timer afregning,3733,3733,VARIABEL
Forskudt tidstillæg 4,43733,3733,VARIABEL
Senior dage afregning,3734,3734,FRAVÆR
Forskudt tidstillæg 5,43734,3734,VARIABEL
Senior timer afregning,3735,3735,FRAVÆR
Forskudt tidstillæg 6,43735,3735,VARIABEL
Forskudt tidstillæg 7,43736,3736,VARIABEL
Senior beløb afregning,3737,3737,VARIABEL
Skifteholdstillæg 1,43740,3740,VARIABEL
Skifteholdstillæg 2,43741,3741,VARIABEL
Skifteholdstillæg 3,43742,3742,VARIABEL
Skifteholdstillæg 4,43743,3743,VARIABEL
Skifteholdstillæg 5,43744,3744,VARIABEL
Skifteholdstillæg 6,43745,3745,VARIABEL
Overarbejde 1,43750,3750,VARIABEL
Overarbejde 2,43751,3751,VARIABEL
Overarbejde 3,43752,3752,VARIABEL
Overarbejde 4,43753,3753,VARIABEL
Overarbejde 5,43754,3754,VARIABEL
Overarbejde 6,43755,3755,VARIABEL
Overarbejde 7,43756,3756,VARIABEL
Overarbejde 8,43757,3757,VARIABEL
Overarbejde 9,43758,3758,VARIABEL
Sygedagpenge,43775,3775,VARIABEL
Sygedagpenge,43776,3776,VARIABEL
Barn syg,43777,3777,VARIABEL
Bonus,43788,3788,VARIABEL
Feriefridage tildel. årlig,3790,3790,STILLINGSKATEGORI
Feriefritimer tildel. årlig,3791,3791,STILLINGSKATEGORI
Feriefridage nulstil/saldo,3792,3792,VARIABEL
Feriefritimer nulstil/saldo,3793,3793,VARIABEL
Feriefri opsp. stop,3795,3795,FAST
Feriefridage,43795,3795,VARIABEL
Feriefridage tildel.,3796,3796,STILLINGSKATEGORI
Feriefritimer tildel.,3797,3797,STILLINGSKATEGORI
Feriefridage,3800,3800,VARIABEL
Timeløn,43800,3800,VARIABEL
Feriefridage,44595,3800,VARIABEL
Feriefritimer,3801,3801,VARIABEL
Feriefridage,3802,3802,FAST
Feriefritimer,3803,3803,FAST
Feriefribeløb ændring,3804,3804,FAST
Barsel med løn,43804,3804,VARIABEL
Feriefribeløb ændring,3805,3805,VARIABEL
Faglært Timeløn,43805,3805,VARIABEL
Ufaglært Timeløn,43806,3806,VARIABEL
Afholdte feriefritimer,3807,3807,FRAVÆR
Afholdte feriefritimer,3808,3808,FRAVÆR
Afholdte feriefridage,3809,3809,FRAVÆR
Regulering,43809,3809,VARIABEL
Afholdte feriefridage,3810,3810,FRAVÆR
Afholdte feriefritimer,3811,3811,FRAVÆR
Intern nattevagt,43811,3811,VARIABEL
Afholdte feriefritimer,3812,3812,FRAVÆR
Udbetal feriefritimer,33812,3812,VARIABEL
Ferie fravær timer,3813,3813,FRAVÆR
Ferie fravær timer,43813,3813,FRAVÆR
Ferie fravær dage,3814,3814,FRAVÆR
Afholdte feriefritimer,3815,3815,FRAVÆR
Afholdte feriefritimer,3816,3816,FRAVÆR
Afholdte feriefritimer,3817,3817,VARIABEL
Afholdte feriefridage,3818,3818,FRAVÆR
Afholdte feriefritimer,3819,3819,FRAVÆR
Afholdte feriefritimer,3820,3820,FRAVÆR
Udbetal feriefritimer,3821,3821,VARIABEL
Udbetal feriefritimer,33821,3821,VARIABEL
Mødetillæg,43821,3821,VARIABEL
Udbetal feriefritimer,3822,3822,VARIABEL
Udbetal feriefritimer,33822,3822,VARIABEL
Tructillæg,43822,3822,VARIABEL
Afholdte feriefritimer,3823,3823,FRAVÆR
Personligt tillæg,43823,3823,VARIABEL
Afholdte feriefritimer,3824,3824,FRAVÆR
Udbetal feriefridage,3825,3825,VARIABEL
Afholdte feriefridage m. SH saldokontrol,3826,3826,FRAVÆR
Afholdte feriefritimer,3827,3827,VARIABEL
Afholdte feriefritimer,3828,3828,FRAVÆR
Afholdte feriefridage,3829,3829,FRAVÆR
Feriefridage udb. månedslønn.,3830,3830,VARIABEL
Forskudt tidstillæg 1,43830,3830,VARIABEL
Feriefritimer udb. timelønn.,3831,3831,VARIABEL
Forskudt tidstillæg 2,43831,3831,VARIABEL
Feriefridage i timer udb.,3832,3832,VARIABEL
Forskudt tidstillæg 3,43832,3832,VARIABEL
Feriefridage udb. månedslønn.,3833,3833,VARIABEL
Forskudt tidstillæg 4,43833,3833,VARIABEL
Feriefridage udb. månedslønn.,3834,3834,VARIABEL
Forskudt tidstillæg 5,43834,3834,VARIABEL
Feriefritimer udb. timer*sats,3835,3835,VARIABEL
Forskudt tidstillæg 6,43835,3835,VARIABEL
Feriefridage udb. tidligere år,3836,3836,VARIABEL
Forskudt tidstillæg 7,43836,3836,VARIABEL
Udbetal feriefritimer,3837,3837,FRAVÆR
Udbetal feriefridage,3838,3838,VARIABEL
Udbetal feriefritimer,3839,3839,VARIABEL
Hensat feriefribeløb,3840,3840,STILLINGSKATEGORI
Hensat feriefribeløb,13840,3840,STILLINGSKATEGORI
Skifteholdstillæg 1,43840,3840,VARIABEL
Feriefribeløb udbetalt,3841,3841,VARIABEL
Feriefribeløb udbetalt Fratr.,13845,3841,STILLINGSKATEGORI
Skifteholdstillæg 2,43841,3841,VARIABEL
Feriefribeløb udbetalt,3842,3842,VARIABEL
Skifteholdstillæg 3,43842,3842,VARIABEL
Feriefribeløb udbetalt,3843,3843,VARIABEL
Skifteholdstillæg 4,43843,3843,VARIABEL
Ferie fravær dage,3844,3844,FRAVÆR
Skifteholdstillæg 5,43844,3844,VARIABEL
Feriefri/ingen feriepenge,3845,3845,STILLINGSKATEGORI
Skifteholdstillæg 6,43845,3845,VARIABEL
Afholdte feriefridage/udbetal,3846,3846,FRAVÆR
Afholdte feriefridage/udbetal,3847,3847,VARIABEL
Afholdte feriefridage/udbetal,33847,3847,VARIABEL
Afholdte feriefridage/træk,3848,3848,VARIABEL
Afh feriefritimer fra fritvalg,3849,3849,FRAVÆR
Barn syg,3850,3850,FRAVÆR
Overarbejde 1,43850,3850,VARIABEL
Barn syg,44577,3850,VARIABEL
Barn syg,3851,3851,FRAVÆR
Overarbejde 2,43851,3851,VARIABEL
Sygeløn timer * sats,3852,3852,FRAVÆR
Overarbejde 3,43852,3852,VARIABEL
Sygeløn,44513,3852,VARIABEL
Sygeløn beløb,3853,3853,FRAVÆR
Overarbejde 4,43853,3853,VARIABEL
Udb feriefritimer fra fritvalg,3854,3854,FRAVÆR
Overarbejde 5,43854,3854,VARIABEL
Afh feriefridage fra fritvalg,3855,3855,FRAVÆR
Overarbejde 6,43855,3855,VARIABEL
Udb feriefridage fra fritvalg,3856,3856,FRAVÆR
Overarbejde 7,43856,3856,VARIABEL
Udb feriefritimer fra SH-saldo,3857,3857,FRAVÆR
Overarbejde 8,43857,3857,VARIABEL
Afh feriefritimer fra SH-saldo,3858,3858,FRAVÆR
Overarbejde 9,43858,3858,VARIABEL
Udb feriefritimer fra SH-saldo,3859,3859,FRAVÆR
Sygeløn kvt.gnsn.,3860,3860,FRAVÆR
Dagpenge kvt.gnsn.,3861,3861,FRAVÆR
Barn syg,3862,3862,FRAVÆR
Sygeløn timeløn,3863,3863,FRAVÆR
Sygeløn gnsn. 4 uger,3864,3864,FRAVÆR
Dagpenge timeløn,3865,3865,FRAVÆR
Dagpenge gnsn.,3866,3866,FRAVÆR
Udb feriefritimer fra fritvalg,3867,3867,FRAVÆR
Sygeløn timer x sats tabel,3868,3868,FRAVÆR
Dagpenge timer x sats tabel,3869,3869,FRAVÆR
Sygedagpenge,44575,3869,VARIABEL
Sygedagpenge,44576,3869,VARIABEL
Sygeløn timer ift. lønanc.,3870,3870,FRAVÆR
Barnsygeløn timer ift. lønanc.,3871,3871,FRAVÆR
Ferie fravær dage,3872,3872,FRAVÆR
Ferie fravær dage,3873,3873,FRAVÆR
Feriefribeløb udbetalt,3874,3874,VARIABEL
Afholdte feriefridage m. SH saldokontrol,3875,3875,FRAVÆR
Sygedagpenge,43875,3875,VARIABEL
Sygedagpenge,43876,3876,VARIABEL
Barn syg,43877,3877,VARIABEL
Sygeløn tim ift. lønanc. ej FB,3880,3880,FRAVÆR
Bonus,43888,3888,VARIABEL
Sygeløn timeløn,3890,3890,FRAVÆR
Feriefridage,43895,3895,VARIABEL
Ferie fravær gl. ferielov,3900,3900,FRAVÆR
Ferie fravær gl. ferielov,3905,3905,FRAVÆR
Ferietillæg med reduktion gl. ferielov,3910,3910,STILLINGSKATEGORI
Ferietillæg med reduktion gl. ferielov,3912,3912,VARIABEL
Ferietillæg ekstra M/reduktion gl. ferielov,3915,3915,STILLINGSKATEGORI
Ferietillæg uden reduktion gl. ferielov,3920,3920,STILLINGSKATEGORI
Ferietillæg uden reduktion gl. ferielov,3922,3922,VARIABEL
Ferietillæg ekstra U/reduktion gl. ferielov,3925,3925,STILLINGSKATEGORI
Udbetaling ferietillæg gl. ferielov,3930,3930,VARIABEL
Udbetaling ekstra ferietillæg gl. ferielov,3935,3935,VARIABEL
Stop tildeling særlige dg/tim,3941,3941,FAST
Tildeling særlige dage/timer,3942,3942,STILLINGSKATEGORI
Særlige dage tildeling (Vises IKKE på lønsedlen),3943,3943,VARIABEL
Særlige timer tildeling (Vises IKKE på lønsedlen),3944,3944,VARIABEL
Særlige  timer,3945,3945,FRAVÆR
Særlige dage udbetaling,3946,3946,STILLINGSKATEGORI
Særlige dage udbetaling,3947,3947,VARIABEL
Særlige timer udbetaling,3948,3948,VARIABEL
Særlige dage,3949,3949,FRAVÆR
Ferie fravær,3950,3950,FRAVÆR
Afholdt ferie,3951,3951,FRAVÆR
Dagpenge timeløn anc.,3964,3964,FRAVÆR
Dagpenge anc. (MD),3966,3966,FRAVÆR
Sygefravær træk,3969,3969,FRAVÆR
Selvvalgt uddannelse,3970,3970,FRAVÆR
Barn syg,3974,3974,FRAVÆR
Sygeløn kvt.gnsn.,3981,3981,FRAVÆR
Sygeløn regulering,3982,3982,VARIABEL
Sygeløn timer x sats,3983,3983,FRAVÆR
Sygeløn timer x sats tabel,3984,3984,FRAVÆR
Dagpenge kvt.gnsn.,3985,3985,FRAVÆR
Dagpenge regulering,3986,3986,VARIABEL
Korrektion Dagpenge timeløn,12386,3986,VARIABELEFTREG
Korrektion Dagpenge timeløn,12986,3986,VARIABELEFTREG
Dagpenge timer x sats tabel,3987,3987,FRAVÆR
Selvvalgt uddannelse,3988,3988,FRAVÆR
Barn syg,3989,3989,FRAVÆR
Sygeløn timeløn,3990,3990,FRAVÆR
Sygeløn gnsn. 4 uger,3991,3991,FRAVÆR
Sygeløn timer * sats,3992,3992,FRAVÆR
Sygeløn beløb,3993,3993,FRAVÆR
Dagpenge timeløn,3994,3994,FRAVÆR
Dagpenge gnsn.,3995,3995,FRAVÆR
Dagpenge timer * sats,3996,3996,FRAVÆR
Dagpenge beløb,3997,3997,FRAVÆR
Tillæg / pension,3999,3999,FAST
Ferie fravær,4000,4000,FRAVÆR
Timeløn,44000,4000,VARIABEL
Ferie fravær,4001,4001,FRAVÆR
Fravær feriekort,4004,4003,FRAVÆR
Fravær feriekort,44003,4004,FRAVÆR
Barsel med løn,44004,4004,VARIABEL
Faglært Timeløn,44005,4005,VARIABEL
Ufaglært Timeløn,44006,4006,VARIABEL
Kvartalsferiepenge t. FerieKt.,4009,4009,STILLINGSKATEGORI
Regulering,44009,4009,VARIABEL
Feriepenge til feriekort,4010,4010,STILLINGSKATEGORI
Timeløn Intern vikar,44010,4010,VARIABEL
Intern nattevagt,44011,4011,VARIABEL
Intern Weekendvagt,44012,4012,VARIABEL
Sygeløn,44013,4013,VARIABEL
Ferie fravær timer,4015,4015,FRAVÆR
Ferie med løn (timer),4017,4017,STILLINGSKATEGORI
Ferie med løn,4019,4019,STILLINGSKATEGORI
Mødetillæg,44021,4021,VARIABEL
Tructillæg,44022,4022,VARIABEL
Personligt tillæg,44023,4023,VARIABEL
Forskudt tidstillæg 1,44030,4030,VARIABEL
Forskudt tidstillæg 2,44031,4031,VARIABEL
Forskudt tidstillæg 3,44032,4032,VARIABEL
Forskudt tidstillæg 4,44033,4033,VARIABEL
Forskudt tidstillæg 5,44034,4034,VARIABEL
Opsparing ferietillæg ekstra,4035,4035,STILLINGSKATEGORI
Forskudt tidstillæg 6,44035,4035,VARIABEL
Forskudt tidstillæg 7,44036,4036,VARIABEL
Opsp. ferietillæg overtid,4039,4039,STILLINGSKATEGORI
Opsparing særligt tillæg,4040,4040,STILLINGSKATEGORI
Udbetal Horesta Særligt tillæg netto (tømmer saldo),4042,4040,VARIABEL
"Udbetal Horesta Særligt tillæg netto (tømmer saldo) 
Husk ikrafttrædelseskode H på kørselsselektion",4043,4040,STILLINGSKATEGORI
"Udbetal Horesta særligt tillæg, ved fratrædelse netto",4044,4040,STILLINGSKATEGORI
Horesta tillæg Brutto,1166,4040,Fast
Skifteholdstillæg 1,44040,4040,VARIABEL
Skifteholdstillæg 2,44041,4041,VARIABEL
Skifteholdstillæg 3,44042,4042,VARIABEL
Skifteholdstillæg 4,44043,4043,VARIABEL
Skifteholdstillæg 5,44044,4044,VARIABEL
Skifteholdstillæg 6,44045,4045,VARIABEL
Overarbejde 1,44050,4050,VARIABEL
Overarbejde 2,44051,4051,VARIABEL
Overarbejde 3,44052,4052,VARIABEL
Overarbejde 4,44053,4053,VARIABEL
Overarbejde 5,44054,4054,VARIABEL
Overarbejde 6,44055,4055,VARIABEL
Overarbejde 7,44056,4056,VARIABEL
Overarbejde 8,44057,4057,VARIABEL
Overarbejde 9,44058,4058,VARIABEL
Søn- og Helligdag,44059,4059,VARIABEL
Udbetaling af ferietimer,4065,4065,VARIABEL
Udbetaling af feriedage,4070,4070,VARIABEL
Udbetaling af feriedage,4071,4071,VARIABEL
Feriefridage i timer udb.,4073,4073,VARIABEL
Feriekort udbetaling Gl. Ferielov,4075,4075,VARIABEL
Sygedagpenge,44075,4075,VARIABEL
Feriekort udbetaling Gl. Ferielov,4076,4076,VARIABEL
Sygedagpenge,44076,4076,VARIABEL
Barn syg,44077,4077,VARIABEL
Regulering timeløn,44081,4081,VARIABEL
A/C udbetaling,44082,4082,VARIABEL
Udlæg,44083,4083,VARIABEL
Bonus,44088,4088,VARIABEL
Udbetaling feriedage Gl. Ferielov,880,4090,VARIABEL
Udbetaling af ferietimer Gl. Ferielov,881,4095,VARIABEL
Feriefridage,44095,4095,VARIABEL
Timeløn,44100,4100,VARIABEL
Barsel med løn,44104,4104,VARIABEL
Faglært Timeløn,44105,4105,VARIABEL
